Function,File Path,Count
files,config\vite.config.ts,1
files,src\lib\index.ts,1
files,src\lib\apis\files\index.ts,8
files,src\lib\components\AddFilesPlaceholder.svelte,1
files,src\lib\components\admin\Functions.svelte,1
files,src\lib\components\admin\Settings\Database.svelte,1
files,src\lib\components\admin\Settings\Documents.svelte,4
files,src\lib\components\admin\Settings\Images.svelte,1
files,src\lib\components\admin\Settings\Models.svelte,1
files,src\lib\components\admin\Settings\Pipelines.svelte,1
files,src\lib\components\admin\Settings\Evaluations\ArenaModelModal.svelte,6
files,src\lib\components\admin\Settings\Models\Manage\ManageOllama.svelte,1
files,src\lib\components\admin\Users\UserList\AddUserModal.svelte,1
files,src\lib\components\channel\Channel.svelte,1
files,src\lib\components\channel\MessageInput.svelte,33
files,src\lib\components\channel\Messages\Message.svelte,2
files,src\lib\components\chat\Chat.svelte,52
files,src\lib\components\chat\ChatControls.svelte,3
files,src\lib\components\chat\MessageInput.svelte,40
files,src\lib\components\chat\Messages.svelte,4
files,src\lib\components\chat\Placeholder.svelte,2
files,src\lib\components\chat\MessageInput\CallOverlay.svelte,2
files,src\lib\components\chat\MessageInput\Commands.svelte,5
files,src\lib\components\chat\MessageInput\InputMenu.svelte,3
files,src\lib\components\chat\MessageInput\Commands\Knowledge.svelte,4
files,src\lib\components\chat\MessageInput\Commands\Prompts.svelte,3
files,src\lib\components\chat\Messages\CitationsModal.svelte,1
files,src\lib\components\chat\Messages\CodeBlock.svelte,17
files,src\lib\components\chat\Messages\CodeExecutionModal.svelte,3
files,src\lib\components\chat\Messages\ResponseMessage.svelte,8
files,src\lib\components\chat\Messages\UserMessage.svelte,3
files,src\lib\components\chat\Messages\Markdown\MarkdownInlineTokens.svelte,2
files,src\lib\components\chat\Messages\Markdown\MarkdownTokens.svelte,2
files,src\lib\components\chat\Settings\Account.svelte,6
files,src\lib\components\chat\Settings\Chats.svelte,1
files,src\lib\components\chat\Settings\Interface.svelte,1
files,src\lib\components\chat\Settings\Advanced\AdvancedParams.svelte,1
files,src\lib\components\common\Banner.svelte,1
files,src\lib\components\common\FileItem.svelte,1
files,src\lib\components\common\FileItemModal.svelte,1
files,src\lib\components\common\Folder.svelte,1
files,src\lib\components\common\RichTextInput.svelte,3
files,src\lib\components\layout\Sidebar.svelte,7
files,src\lib\components\layout\Sidebar\RecursiveFolder.svelte,1
files,src\lib\components\workspace\Models.svelte,1
files,src\lib\components\workspace\Prompts.svelte,1
files,src\lib\components\workspace\Tools.svelte,1
files,src\lib\components\workspace\Knowledge\KnowledgeBase.svelte,35
files,src\lib\components\workspace\Knowledge\KnowledgeBase\AddContentMenu.svelte,4
files,src\lib\components\workspace\Knowledge\KnowledgeBase\Files.svelte,2
files,src\lib\components\workspace\Models\ModelEditor.svelte,1
files,src\lib\utils\index.ts,2
files,src\routes\s\[id]\+page.svelte,2
version,config\vite.config.ts,1
version,src\lib\constants.ts,2
version,src\lib\apis\index.ts,1
version,src\lib\apis\ollama\index.ts,2
