Export Name,Source File,Total Occurrences,Unused?,Found In Files
AIAutocompletion,src\lib\components\common\RichTextInput\AutoCompletion.js,3,NO,"src\lib\components\common\RichTextInput.svelte, src\lib\components\common\RichTextInput\AutoCompletion.js"
APP_NAME,src\lib\constants.ts,3,NO,"src\lib\constants.ts, src\lib\stores\index.ts"
AUDIO_API_BASE_URL,src\lib\constants.ts,8,NO,"src\lib\constants.ts, src\lib\apis\audio\index.ts"
Banner,src\lib\types\index.ts,13,NO,"src\lib\apis\configs\index.ts, src\lib\components\admin\Settings\Interface.svelte, src\lib\components\chat\Chat.svelte, src\lib\components\common\Banner.svelte, src\lib\stores\index.ts, src\lib\types\index.ts"
CellState,src\lib\pyodide\pyodideKernel.ts,3,NO,"src\lib\pyodide\pyodideKernel.ts, src\lib\pyodide\pyodideKernel.worker.ts"
GlobalModelConfig,src\lib\apis\index.ts,1,YES,src\lib\apis\index.ts
IMAGES_API_BASE_URL,src\lib\constants.ts,9,NO,"src\lib\constants.ts, src\lib\apis\images\index.ts"
KokoroWorker,src\lib\workers\KokoroWorker.ts,7,NO,"src\lib\components\chat\MessageInput.svelte, src\lib\components\chat\Messages\ResponseMessage.svelte, src\lib\workers\KokoroWorker.ts"
MODEL_DOWNLOAD_POOL,src\lib\stores\index.ts,58,NO,"src\lib\components\admin\Settings\Models\Manage\ManageOllama.svelte, src\lib\components\chat\ModelSelector\Selector.svelte, src\lib\stores\index.ts"
Model,src\lib\stores\index.ts,64,NO,"src\lib\components\AddConnectionModal.svelte, src\lib\components\admin\Evaluations\Leaderboard.svelte, src\lib\components\admin\Settings\Audio.svelte, src\lib\components\admin\Settings\Documents.svelte, src\lib\components\admin\Settings\Evaluations.svelte, src\lib\components\admin\Settings\Images.svelte, src\lib\components\admin\Settings\Interface.svelte, src\lib\components\admin\Settings\Models.svelte, src\lib\components\admin\Settings\Evaluations\ArenaModelModal.svelte, src\lib\components\admin\Settings\Models\Manage\ManageOllama.svelte, src\lib\components\chat\Chat.svelte, src\lib\components\chat\MessageInput.svelte, src\lib\components\chat\ModelSelector.svelte, src\lib\components\chat\Placeholder.svelte, src\lib\components\chat\ContentRenderer\FloatingButtons.svelte, src\lib\components\chat\Messages\ResponseMessage.svelte, src\lib\components\chat\ModelSelector\Selector.svelte, src\lib\components\layout\Navbar.svelte, src\lib\components\workspace\Models.svelte, src\lib\components\workspace\Models\Capabilities.svelte, src\lib\components\workspace\Models\ModelEditor.svelte, src\lib\stores\index.ts, src\routes\(app)\workspace\models\create\+page.svelte, src\routes\(app)\workspace\models\edit\+page.svelte"
ModelConfig,src\lib\apis\index.ts,4,NO,"src\lib\apis\index.ts, src\lib\stores\index.ts"
ModelMeta,src\lib\apis\index.ts,2,YES,src\lib\apis\index.ts
ModelParams,src\lib\apis\index.ts,2,YES,src\lib\apis\index.ts
OLLAMA_API_BASE_URL,src\lib\constants.ts,12,NO,"src\lib\constants.ts, src\lib\apis\ollama\index.ts"
OPENAI_API_BASE_URL,src\lib\constants.ts,12,NO,"src\lib\constants.ts, src\lib\apis\openai\index.ts, src\lib\components\admin\Settings\Audio.svelte, src\lib\components\admin\Settings\Images.svelte"
OllamaModel,src\lib\stores\index.ts,2,YES,src\lib\stores\index.ts
OpenAIModel,src\lib\stores\index.ts,2,YES,src\lib\stores\index.ts
PASTED_TEXT_CHARACTER_LIMIT,src\lib\constants.ts,6,NO,"src\lib\constants.ts, src\lib\components\chat\MessageInput.svelte, src\lib\components\common\RichTextInput.svelte"
RETRIEVAL_API_BASE_URL,src\lib\constants.ts,13,NO,"src\lib\constants.ts, src\lib\apis\retrieval\index.ts"
SearchDocument,src\lib\apis\retrieval\index.ts,1,YES,src\lib\apis\retrieval\index.ts
TTSWorker,src\lib\stores\index.ts,9,NO,"src\lib\components\chat\MessageInput.svelte, src\lib\components\chat\MessageInput\CallOverlay.svelte, src\lib\components\chat\Messages\ResponseMessage.svelte, src\lib\stores\index.ts"
TTS_RESPONSE_SPLIT,src\lib\types\index.ts,10,NO,"src\lib\components\admin\Settings\Audio.svelte, src\lib\types\index.ts, src\lib\utils\index.ts"
USAGE_POOL,src\lib\stores\index.ts,7,NO,"src\lib\components\layout\Sidebar\UserMenu.svelte, src\lib\stores\index.ts, src\routes\+layout.svelte"
WEBUI_API_BASE_URL,src\lib\constants.ts,185,NO,"src\lib\constants.ts, src\lib\apis\auths\index.ts, src\lib\apis\channels\index.ts, src\lib\apis\chats\index.ts, src\lib\apis\configs\index.ts, src\lib\apis\evaluations\index.ts, src\lib\apis\files\index.ts, src\lib\apis\folders\index.ts, src\lib\apis\functions\index.ts, src\lib\apis\groups\index.ts, src\lib\apis\knowledge\index.ts, src\lib\apis\memories\index.ts, src\lib\apis\models\index.ts, src\lib\apis\prompts\index.ts, src\lib\apis\tools\index.ts, src\lib\apis\users\index.ts, src\lib\apis\utils\index.ts, src\lib\components\channel\MessageInput.svelte, src\lib\components\chat\MessageInput.svelte, src\lib\components\chat\Messages\CitationsModal.svelte, src\lib\components\common\FileItemModal.svelte"
WEBUI_BASE_URL,src\lib\constants.ts,75,NO,"src\lib\constants.ts, src\lib\apis\index.ts, src\lib\apis\openai\index.ts, src\lib\components\OnBoarding.svelte, src\lib\components\admin\Users\UserList.svelte, src\lib\components\admin\Users\Groups\Users.svelte, src\lib\components\channel\Messages\Message.svelte, src\lib\components\channel\Messages\Message\ProfilePreview.svelte, src\lib\components\chat\Chat.svelte, src\lib\components\chat\ChatPlaceholder.svelte, src\lib\components\chat\MessageInput.svelte, src\lib\components\chat\Placeholder.svelte, src\lib\components\chat\Messages\ProfileImage.svelte, src\lib\components\chat\Messages\ResponseMessage.svelte, src\lib\components\chat\Messages\Markdown\MarkdownInlineTokens.svelte, src\lib\components\chat\Messages\Markdown\MarkdownTokens.svelte, src\lib\components\common\Image.svelte, src\lib\components\layout\Sidebar.svelte, src\lib\utils\index.ts, src\routes\+layout.svelte, src\routes\auth\+page.svelte"
WEBUI_BUILD_HASH,src\lib\constants.ts,3,NO,"src\lib\constants.ts, src\lib\components\chat\Settings\About.svelte"
WEBUI_HOSTNAME,src\lib\constants.ts,1,YES,src\lib\constants.ts
WEBUI_NAME,src\lib\stores\index.ts,42,NO,"src\lib\components\ChangelogModal.svelte, src\lib\components\admin\Functions.svelte, src\lib\components\chat\Chat.svelte, src\lib\components\chat\Navbar.svelte, src\lib\components\chat\Suggestions.svelte, src\lib\components\chat\Settings\About.svelte, src\lib\components\layout\Navbar.svelte, src\lib\components\workspace\Knowledge.svelte, src\lib\components\workspace\Models.svelte, src\lib\components\workspace\Prompts.svelte, src\lib\components\workspace\Tools.svelte, src\lib\stores\index.ts, src\routes\+layout.svelte, src\routes\(app)\admin\+layout.svelte, src\routes\(app)\home\+layout.svelte, src\routes\(app)\workspace\+layout.svelte, src\routes\auth\+page.svelte, src\routes\error\+page.svelte, src\routes\s\[id]\+page.svelte"
WEBUI_VERSION,src\lib\constants.ts,21,NO,"src\lib\constants.ts, src\lib\components\ChangelogModal.svelte, src\lib\components\admin\Settings\General.svelte, src\lib\components\chat\Suggestions.svelte, src\lib\components\chat\Settings\About.svelte, src\lib\components\layout\UpdateInfoToast.svelte, src\routes\(app)\+layout.svelte, src\routes\(app)\admin\functions\create\+page.svelte, src\routes\(app)\admin\functions\edit\+page.svelte"
accessControl,src\lib\components\workspace\Tools\ToolkitEditor.svelte,55,NO,"src\lib\apis\knowledge\index.ts, src\lib\components\admin\Settings\Evaluations\ArenaModelModal.svelte, src\lib\components\layout\Sidebar\ChannelModal.svelte, src\lib\components\workspace\common\AccessControl.svelte, src\lib\components\workspace\common\AccessControlModal.svelte, src\lib\components\workspace\Knowledge\CreateKnowledgeBase.svelte, src\lib\components\workspace\Knowledge\KnowledgeBase.svelte, src\lib\components\workspace\Models\ModelEditor.svelte, src\lib\components\workspace\Prompts\PromptEditor.svelte, src\lib\components\workspace\Tools\ToolkitEditor.svelte, src\routes\(app)\workspace\tools\edit\+page.svelte"
accessRoles,src\lib\components\workspace\common\AccessControlModal.svelte,9,NO,"src\lib\components\workspace\common\AccessControl.svelte, src\lib\components\workspace\common\AccessControlModal.svelte, src\lib\components\workspace\Knowledge\CreateKnowledgeBase.svelte, src\lib\components\workspace\Knowledge\KnowledgeBase.svelte, src\lib\components\workspace\Models\ModelEditor.svelte, src\lib\components\workspace\Prompts\PromptEditor.svelte, src\lib\components\workspace\Tools\ToolkitEditor.svelte"
actionMessage,src\lib\components\chat\Messages\ResponseMessage.svelte,9,NO,"src\lib\components\chat\Messages.svelte, src\lib\components\chat\Messages\Message.svelte, src\lib\components\chat\Messages\MultiResponseMessages.svelte, src\lib\components\chat\Messages\ResponseMessage.svelte"
actions,src\lib\components\workspace\Models\ActionsSelector.svelte,13,NO,"src\lib\apis\index.ts, src\lib\components\chat\Messages\ResponseMessage.svelte, src\lib\components\workspace\Models\ActionsSelector.svelte, src\lib\components\workspace\Models\ModelEditor.svelte, src\lib\components\workspace\Models\ModelMenu.svelte"
activeUserIds,src\lib\stores\index.ts,8,NO,"src\lib\components\channel\Messages\Message\ProfilePreview.svelte, src\lib\components\layout\Sidebar\UserMenu.svelte, src\lib\stores\index.ts, src\routes\+layout.svelte"
addFileToKnowledgeById,src\lib\apis\knowledge\index.ts,3,NO,"src\lib\apis\knowledge\index.ts, src\lib\components\workspace\Knowledge\KnowledgeBase.svelte"
addMessages,src\lib\components\chat\Messages\ResponseMessage.svelte,11,NO,"src\lib\components\chat\Chat.svelte, src\lib\components\chat\Messages.svelte, src\lib\components\chat\Messages\Message.svelte, src\lib\components\chat\Messages\MultiResponseMessages.svelte, src\lib\components\chat\Messages\ResponseMessage.svelte"
addNewMemory,src\lib\apis\memories\index.ts,3,NO,"src\lib\apis\memories\index.ts, src\lib\components\chat\Settings\Personalization\AddMemoryModal.svelte"
addReaction,src\lib\apis\channels\index.ts,3,NO,"src\lib\apis\channels\index.ts, src\lib\components\channel\Messages.svelte"
addTagById,src\lib\apis\chats\index.ts,3,NO,"src\lib\apis\chats\index.ts, src\lib\components\chat\Tags.svelte"
addUser,src\lib\apis\auths\index.ts,4,NO,"src\lib\apis\auths\index.ts, src\lib\components\admin\Users\UserList\AddUserModal.svelte"
admin,src\lib\components\chat\Settings\Advanced\AdvancedParams.svelte,98,NO,"src\lib\apis\auths\index.ts, src\lib\components\admin\Functions.svelte, src\lib\components\admin\Settings.svelte, src\lib\components\admin\Users.svelte, src\lib\components\admin\Functions\FunctionEditor.svelte, src\lib\components\admin\Settings\Connections.svelte, src\lib\components\admin\Settings\Evaluations.svelte, src\lib\components\admin\Settings\General.svelte, src\lib\components\admin\Settings\Images.svelte, src\lib\components\admin\Settings\Interface.svelte, src\lib\components\admin\Settings\Models.svelte, src\lib\components\admin\Settings\Models\ManageModelsModal.svelte, src\lib\components\admin\Users\Groups.svelte, src\lib\components\admin\Users\UserList.svelte, src\lib\components\admin\Users\Groups\EditGroupModal.svelte, src\lib\components\admin\Users\Groups\Users.svelte, src\lib\components\admin\Users\UserList\AddUserModal.svelte, src\lib\components\channel\Messages\Message.svelte, src\lib\components\chat\Chat.svelte, src\lib\components\chat\MessageInput.svelte, src\lib\components\chat\SettingsModal.svelte, src\lib\components\chat\Controls\Controls.svelte, src\lib\components\chat\MessageInput\InputMenu.svelte, src\lib\components\chat\Messages\ResponseMessage.svelte, src\lib\components\chat\ModelSelector\Selector.svelte, src\lib\components\chat\Settings\Advanced\AdvancedParams.svelte, src\lib\components\layout\Sidebar.svelte, src\lib\components\layout\Sidebar\ChannelItem.svelte, src\lib\components\layout\Sidebar\UserMenu.svelte, src\lib\components\workspace\Models.svelte, src\lib\components\workspace\Prompts.svelte, src\lib\components\workspace\Tools.svelte, src\lib\components\workspace\Models\ModelEditor.svelte, src\routes\(app)\+layout.svelte, src\routes\(app)\admin\+layout.svelte, src\routes\(app)\admin\+page.svelte, src\routes\(app)\admin\evaluations\+page.svelte, src\routes\(app)\admin\functions\+page.svelte, src\routes\(app)\admin\functions\create\+page.svelte, src\routes\(app)\admin\functions\edit\+page.svelte, src\routes\(app)\admin\settings\+page.svelte, src\routes\(app)\admin\users\+page.svelte, src\routes\(app)\workspace\+layout.svelte, src\routes\(app)\workspace\+page.svelte, src\routes\(app)\workspace\functions\create\+page.svelte"
align,src\lib\components\common\Dropdown.svelte,32,NO,"src\lib\components\admin\Evaluations\FeedbackMenu.svelte, src\lib\components\admin\Functions\FunctionMenu.svelte, src\lib\components\channel\MessageInput\InputMenu.svelte, src\lib\components\channel\Messages\Message\ProfilePreview.svelte, src\lib\components\channel\Messages\Message\ReactionPicker.svelte, src\lib\components\chat\MessageInput\CallOverlay.svelte, src\lib\components\chat\MessageInput\InputMenu.svelte, src\lib\components\chat\MessageInput\CallOverlay\VideoInputMenu.svelte, src\lib\components\chat\Messages\Markdown\MarkdownTokens.svelte, src\lib\components\common\Dropdown.svelte, src\lib\components\layout\Help\HelpMenu.svelte, src\lib\components\layout\Navbar\Menu.svelte, src\lib\components\layout\Sidebar\ChatMenu.svelte, src\lib\components\layout\Sidebar\UserMenu.svelte, src\lib\components\layout\Sidebar\Folders\FolderMenu.svelte, src\lib\components\workspace\Knowledge\ItemMenu.svelte, src\lib\components\workspace\Knowledge\KnowledgeBase\AddContentMenu.svelte, src\lib\components\workspace\Models\ModelMenu.svelte, src\lib\components\workspace\Models\Knowledge\Selector.svelte, src\lib\components\workspace\Prompts\PromptMenu.svelte, src\lib\components\workspace\Tools\ToolMenu.svelte"
allowHTML,src\lib\components\common\Tooltip.svelte,4,NO,"src\lib\components\chat\Overview\Node.svelte, src\lib\components\common\Tooltip.svelte"
alt,src\lib\components\common\ImagePreview.svelte,45,NO,"src\lib\components\NotificationToast.svelte, src\lib\components\OnBoarding.svelte, src\lib\components\admin\Evaluations\Feedbacks.svelte, src\lib\components\admin\Evaluations\Leaderboard.svelte, src\lib\components\admin\Settings\Models.svelte, src\lib\components\admin\Settings\Evaluations\ArenaModelModal.svelte, src\lib\components\admin\Settings\Evaluations\Model.svelte, src\lib\components\admin\Users\UserList.svelte, src\lib\components\admin\Users\Groups\Users.svelte, src\lib\components\admin\Users\UserList\EditUserModal.svelte, src\lib\components\app\AppSidebar.svelte, src\lib\components\channel\MessageInput.svelte, src\lib\components\channel\Navbar.svelte, src\lib\components\channel\Messages\Message.svelte, src\lib\components\channel\Messages\Message\ProfilePreview.svelte, src\lib\components\channel\Messages\Message\ReactionPicker.svelte, src\lib\components\chat\ChatPlaceholder.svelte, src\lib\components\chat\MessageInput.svelte, src\lib\components\chat\Navbar.svelte, src\lib\components\chat\Placeholder.svelte, src\lib\components\chat\MessageInput\Commands\Models.svelte, src\lib\components\chat\Messages\CodeBlock.svelte, src\lib\components\chat\Messages\ProfileImage.svelte, src\lib\components\chat\Messages\ResponseMessage.svelte, src\lib\components\chat\Messages\Markdown\MarkdownInlineTokens.svelte, src\lib\components\chat\ModelSelector\Selector.svelte, src\lib\components\chat\Settings\Account.svelte, src\lib\components\common\Image.svelte, src\lib\components\common\ImagePreview.svelte, src\lib\components\common\Pagination.svelte, src\lib\components\layout\Navbar.svelte, src\lib\components\layout\Sidebar.svelte, src\lib\components\workspace\Models.svelte, src\lib\components\workspace\Models\ModelEditor.svelte, src\routes\auth\+page.svelte"
appData,src\lib\stores\index.ts,2,NO,"src\lib\stores\index.ts, src\routes\+layout.svelte"
appInfo,src\lib\stores\index.ts,3,NO,"src\lib\stores\index.ts, src\routes\+layout.svelte"
archiveAllChats,src\lib\apis\chats\index.ts,3,NO,"src\lib\apis\chats\index.ts, src\lib\components\chat\Settings\Chats.svelte"
archiveChatById,src\lib\apis\chats\index.ts,6,NO,"src\lib\apis\chats\index.ts, src\lib\components\layout\Sidebar\ArchivedChatsModal.svelte, src\lib\components\layout\Sidebar\ChatItem.svelte"
archiveChatHandler,src\lib\components\layout\Sidebar\ChatMenu.svelte,6,NO,"src\lib\components\layout\Sidebar\ChatItem.svelte, src\lib\components\layout\Sidebar\ChatMenu.svelte"
atSelectedModel,src\lib\components\chat\Placeholder.svelte,36,NO,"src\lib\components\chat\Chat.svelte, src\lib\components\chat\ChatPlaceholder.svelte, src\lib\components\chat\MessageInput.svelte, src\lib\components\chat\Messages.svelte, src\lib\components\chat\Placeholder.svelte"
attributes,src\lib\components\common\Collapsible.svelte,50,NO,"src\lib\components\chat\Messages\CodeBlock.svelte, src\lib\components\chat\Messages\Markdown\MarkdownTokens.svelte, src\lib\components\chat\Messages\Markdown\Source.svelte, src\lib\components\common\CodeEditor.svelte, src\lib\components\common\Collapsible.svelte, src\lib\components\common\RichTextInput.svelte, src\lib\components\common\RichTextInput\AutoCompletion.js, src\lib\utils\marked\extension.ts"
autoScroll,src\lib\components\chat\Placeholder.svelte,31,NO,"src\lib\components\chat\Chat.svelte, src\lib\components\chat\MessageInput.svelte, src\lib\components\chat\Messages.svelte, src\lib\components\chat\Placeholder.svelte, src\lib\components\chat\ContentRenderer\FloatingButtons.svelte, src\routes\s\[id]\+page.svelte"
autocomplete,src\lib\components\common\RichTextInput.svelte,50,NO,"src\lib\components\AddConnectionModal.svelte, src\lib\components\admin\Settings\CodeExecution.svelte, src\lib\components\admin\Settings\Documents.svelte, src\lib\components\admin\Settings\Interface.svelte, src\lib\components\admin\Settings\Pipelines.svelte, src\lib\components\admin\Settings\Connections\OpenAIConnection.svelte, src\lib\components\admin\Settings\Evaluations\ArenaModelModal.svelte, src\lib\components\admin\Users\Groups\AddGroupModal.svelte, src\lib\components\admin\Users\Groups\Display.svelte, src\lib\components\admin\Users\UserList\AddUserModal.svelte, src\lib\components\admin\Users\UserList\EditUserModal.svelte, src\lib\components\chat\MessageInput.svelte, src\lib\components\chat\ShortcutsModal.svelte, src\lib\components\chat\ModelSelector\Selector.svelte, src\lib\components\chat\Settings\Account\UpdatePassword.svelte, src\lib\components\chat\Settings\Advanced\AdvancedParams.svelte, src\lib\components\chat\Settings\Connections\Connection.svelte, src\lib\components\common\CodeEditor.svelte, src\lib\components\common\RichTextInput.svelte, src\lib\components\common\SensitiveInput.svelte, src\lib\components\common\Valves.svelte, src\lib\components\layout\Sidebar\ChannelModal.svelte, src\routes\auth\+page.svelte"
banner,src\lib\components\common\Banner.svelte,15,NO,"src\lib\components\admin\Settings\Interface.svelte, src\lib\components\chat\Chat.svelte, src\lib\components\common\Banner.svelte"
banners,src\lib\stores\index.ts,25,NO,"src\lib\apis\configs\index.ts, src\lib\components\admin\Settings\Interface.svelte, src\lib\components\chat\Chat.svelte, src\lib\stores\index.ts, src\routes\(app)\+layout.svelte"
bestMatchingLanguage,src\lib\utils\index.ts,3,NO,"src\lib\utils\index.ts, src\routes\+layout.svelte"
blobToFile,src\lib\utils\index.ts,7,NO,"src\lib\components\chat\MessageInput\CallOverlay.svelte, src\lib\components\chat\MessageInput\VoiceRecording.svelte, src\lib\components\workspace\Knowledge\KnowledgeBase.svelte, src\lib\utils\index.ts"
boilerplate,src\lib\components\common\CodeEditor.svelte,6,NO,"src\lib\components\admin\Functions\FunctionEditor.svelte, src\lib\components\common\CodeEditor.svelte, src\lib\components\workspace\Tools\ToolkitEditor.svelte"
bottomPadding,src\lib\components\chat\Messages.svelte,5,NO,"src\lib\components\chat\Chat.svelte, src\lib\components\chat\Messages.svelte, src\routes\s\[id]\+page.svelte"
buttonClassName,src\lib\components\common\Collapsible.svelte,10,NO,"src\lib\components\chat\Controls\Controls.svelte, src\lib\components\chat\Messages\Citations.svelte, src\lib\components\common\Collapsible.svelte, src\lib\components\common\Folder.svelte, src\lib\components\layout\Sidebar\RecursiveFolder.svelte"
cancelLabel,src\lib\components\common\ConfirmDialog.svelte,2,YES,src\lib\components\common\ConfirmDialog.svelte
canvasPixelTest,src\lib\utils\index.ts,6,NO,"src\lib\components\chat\Settings\Account.svelte, src\lib\utils\index.ts"
