File Type,Element Type,Element Name
.svelte,svelte_prop,codeExecutions
.svelte,variable,onBack
.js,function,reify
.js,function,indexedSeqFromValue
.js,function,normalize
.svelte,variable,toggleGlobalHandler
.svelte,svelte_prop,imageGenerationEnabled
.js,function,q
.py,class,ModelsConfigForm
.js,variable,cm
.js,variable,_w
.js,function,contentTypeValues
.ts,variable,image
.js,variable,content_type_noop
.svelte,variable,emojiRows
.svelte,variable,_selectedModels
.py,variable,node_output
.py,variable,merged_models
.svelte,variable,dismissed
.py,variable,autocommit
.svelte,variable,stopAudioStream
.py,variable,bytes_read
.js,variable,sd
.svelte,variable,scrollToBottom
.py,function,upload_model
.js,function,readBlockMapping
.ts,variable,getUserDefaultPermissions
.svelte,svelte_prop,rows
.js,variable,Hc
.js,function,ai
.py,function,reset_knowledge_by_id
.py,variable,WebLoaderClass
.py,variable,query_response
.ts,variable,updateOllamaUrls
.py,function,download_file_stream
.ts,variable,personality
.py,variable,blob
.js,variable,jS
.js,function,ug
.js,function,isRegexOrFunction
.js,function,Core
.js,variable,st
.js,function,onwriteDrain
.svelte,variable,responseMessage
.svelte,variable,currentPassword
.py,function,add_message_status_to_chat_by_id_and_message_id
.py,function,get_knowledge_list
.py,variable,attr
.svelte,variable,formattedSeconds
.js,function,autolink
.py,variable,COMMAND_TAKEN
.svelte,variable,localDBChats
.js,function,reject
.js,variable,Hd
.py,function,insert_new_chat
.js,function,Th
.py,variable,html
.py,function,aquire_lock
.js,function,hashSet
.js,variable,dy
.py,variable,document_chunk_table
.js,variable,Dp
.js,function,updateResolvedSubtree
.svelte,variable,showExperimentalOllama
.js,function,has
.svelte,svelte_prop,setGroups
.ts,variable,parseJsonFile
.js,function,hashGet
.js,variable,tp
.js,function,startsWith
.js,function,Sha224
.ts,variable,index
.js,function,trySubscribeSelf
.svelte,svelte_prop,confirmLabel
.js,function,SHA
.js,variable,cC
.js,function,setToArray
.svelte,variable,openPane
.js,function,computeEdges
.py,variable,STT_MODEL
.ts,variable,updateUserById
.js,function,mergeIntoListWith
.js,variable,Ep
.ts,variable,OPENAI_API_KEYS
.py,variable,AUTOCOMPLETE_GENERATION
.py,class,KnowledgeFileIdForm
.py,variable,GOOGLE_CLIENT_ID
.svelte,svelte_prop,rateMessage
.svelte,svelte_prop,regenerateResponse
.py,variable,matches
.js,function,hd
.svelte,variable,onClose
.js,function,Traverse
.py,variable,type_hints
.js,function,t
.py,variable,tool_call
.js,function,writeDoubleBE
.py,function,delete
.js,function,emptyFunctionWithReset
.js,variable,xn
.py,variable,user_groups
.svelte,variable,target
.js,function,stateCommentEndDash
.py,variable,to
.py,variable,OLLAMA_API_CONFIGS
.ts,variable,userSignIn
.js,function,_nth
.js,variable,Yl
.ts,function,sanitizeResponseContent
.py,function,move_data_back_to_modelfile
.ts,variable,updateChannelById
.py,class,TestUsers
.svelte,variable,lastSoundTime
.svelte,variable,element
.js,function,_createSuperInternal
.svelte,variable,rootFolders
.py,function,get_html_file_content_by_id
.py,class,KnowledgeUserModel
.py,variable,all_messages
.py,variable,system_message_content
.ts,variable,setModelsConfig
.js,function,qa
.svelte,variable,positionChangeHandler
.js,function,isRequest
.svelte,variable,manifest
.js,function,encodeHex
.ts,variable,htmlUrl
.py,function,get_user_chats
.js,function,emptyFunction
.js,function,getLines
.py,variable,knowledge_with_files
.js,variable,_h
.py,variable,updated_user
.py,variable,mock_blob_client
.py,function,google_oauth_register
.js,function,XO
.py,variable,prompts
.py,variable,EMOJI_GENERATION
.py,variable,message_content
.ts,variable,getFolderById
.py,variable,AUTOMATIC1111_API_AUTH
.js,variable,OE
.py,variable,split
.py,function,create_folder
.py,variable,WEBUI_AUTH_COOKIE_SECURE
.ts,variable,file
.svelte,variable,showAddMemoryModal
.py,variable,documents
.py,function,get_user_pinned_chats
.svelte,variable,saveRecording
.js,function,Zc
.py,variable,STT_ENGINE
.py,function,generate_queries
.svelte,variable,hasHiddenFolder
.py,variable,UNAUTHORIZED
.py,function,lazy_load
.ts,function,extractSentences
.js,function,isStack
.py,variable,CODE_EXECUTION_JUPYTER_TIMEOUT
.svelte,variable,_socket
.py,variable,API_KEY_NOT_ALLOWED
.py,variable,TTS_MODEL
.py,function,get_memory_by_id
.py,class,ConnectionVerificationForm
.ts,variable,resultString
.py,variable,webhook_url
