File Type,Element Type,Element Name,Is Default,Suggested Name
.js,variable,jS,False,
.js,function,ug,False,
.js,function,isRegexOrFunction,False,
.js,variable,st,False,
.js,function,Core,False,
.js,function,reject,False,
.js,function,autolink,False,
.js,function,onwriteDrain,False,
.js,function,hashSet,False,
.js,function,Th,False,
.js,variable,Hd,False,
.js,variable,dy,False,
.js,function,has,False,
.js,function,updateResolvedSubtree,False,
.js,variable,Dp,False,
.js,function,startsWith,False,
.js,function,hashGet,False,
.js,variable,tp,False,
.js,function,trySubscribeSelf,False,
.js,function,Sha224,False,
.js,function,SHA,False,
.js,variable,cC,False,
.js,function,setToArray,False,
.js,function,computeEdges,False,
.js,function,mergeIntoListWith,False,
.js,function,Traverse,False,
.js,function,hd,False,
.js,variable,Ep,False,
.js,function,emptyFunctionWithReset,False,
.js,function,t,False,
.js,function,writeDoubleBE,False,
.js,variable,xn,False,
.js,variable,Yl,False,
.js,function,_nth,False,
.js,function,stateCommentEndDash,False,
.js,function,isRequest,False,
.js,function,_createSuperInternal,False,
.js,function,qa,False,
.js,function,encodeHex,False,
.js,function,emptyFunction,False,
.js,function,reify,False,
.js,function,q,False,
.js,function,indexedSeqFromValue,False,
.js,function,normalize,False,
.js,variable,_w,False,
.js,variable,cm,False,
.js,function,contentTypeValues,False,
.js,function,readBlockMapping,False,
.js,variable,sd,False,
.js,variable,content_type_noop,False,
.js,function,ai,False,
.js,variable,Hc,False,
.js,function,getLines,False,
.js,function,XO,False,
.js,variable,OE,False,
.js,function,Zc,False,
.js,variable,_h,False,
.js,function,afterWrite,False,
.js,function,fromArrayBuffer,False,
.js,function,isStack,False,
.js,function,remove,False,
.js,function,endReadableNT,False,
.js,function,iterateeAry,False,
.js,variable,Lb,False,
.js,variable,Gn,False,
.js,variable,md,False,
.js,function,constructYamlInteger,False,
.js,function,Sha256,False,
.js,function,isArrayLikeObject,False,
.js,function,TextArea,False,
.js,function,response_extension,False,
.js,function,stateEndTagOpen,False,
.js,variable,cssEscape,False,
.js,function,getDependsOnOwnProps,False,
.js,function,Di,False,
.js,function,hasIterator,False,
.js,variable,e_,False,
.js,function,getEnumerableOwnPropertySymbols,False,
.js,variable,qb,False,
.js,function,getDependencies,False,
.js,variable,ht,False,
.js,function,stateLocalPart,False,
.js,function,TypeError,False,
.js,function,toggle,False,
.js,function,Ra,False,
.js,variable,prerender,False,
.js,function,readUInt8,False,
.js,function,base64Slice,False,
.js,function,test,False,
.js,function,Ig,False,
.js,function,RangeError,False,
.js,function,iteratee,False,
.js,function,trimmedEndIndex,False,
.js,function,createBaseEach,False,
.js,variable,Tu,False,
.js,function,isClosingTag,False,
