File Type,Element Type,Element Name
.py,class,ModelsConfigForm
.py,variable,node_output
.py,variable,merged_models
.py,variable,autocommit
.py,variable,bytes_read
.py,function,upload_model
.py,function,reset_knowledge_by_id
.py,variable,WebLoaderClass
.py,variable,query_response
.py,function,download_file_stream
.py,variable,blob
.py,function,add_message_status_to_chat_by_id_and_message_id
.py,function,get_knowledge_list
.py,variable,attr
.py,variable,COMMAND_TAKEN
.py,function,insert_new_chat
.py,variable,html
.py,function,aquire_lock
.py,variable,document_chunk_table
.py,variable,STT_MODEL
.py,variable,AUTOCOMPLETE_GENERATION
.py,class,KnowledgeFileIdForm
.py,variable,GOOGLE_CLIENT_ID
.py,variable,matches
.py,variable,type_hints
.py,variable,tool_call
.py,function,delete
.py,variable,user_groups
.py,variable,to
.py,variable,OLLAMA_API_CONFIGS
.py,function,move_data_back_to_modelfile
.py,class,TestUsers
.py,function,get_html_file_content_by_id
.py,class,KnowledgeUserModel
.py,variable,all_messages
.py,variable,system_message_content
.py,function,get_user_chats
.py,variable,knowledge_with_files
.py,variable,updated_user
.py,variable,mock_blob_client
.py,function,google_oauth_register
.py,variable,prompts
.py,variable,EMOJI_GENERATION
.py,variable,message_content
.py,variable,AUTOMATIC1111_API_AUTH
.py,variable,split
.py,function,create_folder
.py,variable,WEBUI_AUTH_COOKIE_SECURE
.py,variable,documents
.py,function,get_user_pinned_chats
.py,variable,STT_ENGINE
.py,function,generate_queries
.py,variable,UNAUTHORIZED
.py,function,lazy_load
.py,variable,CODE_EXECUTION_JUPYTER_TIMEOUT
.py,variable,API_KEY_NOT_ALLOWED
.py,variable,TTS_MODEL
.py,function,get_memory_by_id
.py,class,ConnectionVerificationForm
.py,variable,webhook_url
.py,variable,LDAP_SERVER_PORT
.py,variable,urls
.py,variable,swagger_css_url
.py,function,parse_section
.py,variable,flags
.py,variable,tag
.py,variable,ENABLE_TITLE_GENERATION
.py,variable,WHISPER_MODEL
.py,variable,upload_folder
.py,function,add_pipeline
.py,variable,new_items
.py,class,ChatForm
.py,variable,gcs_client
.py,variable,is_active
.py,class,ReactionForm
.py,function,chat_action
.py,function,get_shared_chat_by_id
.py,variable,AUDIO_STT_MODEL
.py,function,authenticate_user_by_api_key
.py,function,comfyui_generate_image
.py,variable,err
.py,variable,parents
.py,function,remove_reaction_by_id_and_user_id_and_name
.py,variable,last_request_time
.py,function,get_ollama_loaded_models
.py,function,extract_metadata
.py,function,get_chat_title_id_list_by_user_id
.py,variable,GOOGLE_PSE_ENGINE_ID
.py,function,keys
.py,class,RerankCompressor
.py,function,get_chat_by_id
.py,variable,metadata
.py,function,ldap_auth
.py,function,test_prompts
.py,variable,impl
.py,function,update_tool_valves_by_id
.py,function,update_file_metadata_by_id
.py,variable,ENABLE_WEBSOCKET_SUPPORT
.py,class,PromptUserResponse
.py,variable,embedding_engine
.py,variable,OLLAMA_API_BASE_URL
.py,function,get_user_by_oauth_sub
.py,class,TestLocalStorageProvider
.py,variable,Groups
.py,variable,task
.py,variable,s
.py,variable,html_body
.py,variable,existing_type
.py,variable,CODE_INTERPRETER_JUPYTER_URL
.py,function,create_new_function
.py,variable,owned_by
.py,class,GenerateImageForm
.py,variable,width
.py,variable,DETECT_REASONING
.py,variable,messages
.py,function,add_tag_by_id_and_tag_name
.py,class,AudioConfigUpdateForm
.py,class,PromptForm
.py,variable,tool_function_name
.py,variable,pool_pre_ping
.py,variable,device
.py,variable,knowledge
.py,variable,points
.py,variable,scheme
.py,variable,CODE_EXECUTION_ENGINE
.py,function,get_current_user_by_api_key
.py,function,get_tool_list
.py,function,test_get_all_user_chats_in_db
.py,function,signup
.py,variable,proxy_server
.py,variable,DATABASE_SCHEMA
.py,function,extract_data
.py,function,_create_db_url
.py,variable,completion_form
.py,function,get_ldap_config
.py,function,extract_folders_after_data_docs
.py,variable,WEBHOOK_URL
.py,function,update_message_by_id
.py,variable,proxies
.py,function,set_code_execution_config
.py,function,get_webhook_url
.py,function,post_webhook
.py,function,update_ldap_config
.py,function,update_function_by_id
.py,function,prompt_template
.py,class,ChatModel
.py,function,execute_pipe
.py,variable,expire
.py,function,get_message_by_id
.py,variable,knowledge_table
.py,variable,json_response
.py,class,FolderForm
.py,class,LdapConfigForm
.py,class,VectorSearchRetriever
.py,class,RedisDict
.py,function,emoji_generation_template
.py,variable,AUTOMATIC1111_SAMPLER
.py,variable,type_hint
.py,function,python_value
.py,function,get_tools
.py,variable,embedding_function
.py,variable,connectable
.py,function,search_web
.py,variable,api
.py,variable,VECTOR_DB
.py,function,periodic_usage_pool_cleanup
.py,variable,synchronize_session
.py,variable,Session
.py,function,get_channel_by_id
.py,function,get_fast_api_client
.py,function,delete_reactions_by_id
.py,variable,pipe
.py,variable,ALGORITHM
.py,variable,kernel_url
.py,variable,stdout
.py,function,get_client
.py,class,ReconnectingPostgresqlDatabase
.py,class,MemoriesTable
.py,variable,SEARCHAPI_ENGINE
.py,function,get_user_ids_from_room
.py,function,test_get_session_user_chat_list
.py,variable,STT_OPENAI_API_BASE_URL
.py,variable,vector_type
.py,variable,channel
.py,variable,swagger_favicon_url
.py,variable,DOCKER_CONTAINER_NAME
.py,variable,collection_prefix
.py,variable,db_state_default
.py,variable,reranking
.py,variable,result_display_content
.py,variable,top_n
.py,variable,user_group_ids
.py,variable,days
.py,variable,retries
.py,variable,Memories
.py,variable,YOUTUBE_LOADER_TRANSLATION
.py,variable,UserInfo
.py,function,get_tools_user_valves_by_id
.py,function,insert
.py,class,Tag
.py,variable,Functions
.py,variable,existing_tables
.py,class,OpenAICompletionForm
.py,variable,action_function
.py,variable,filename_extra
.py,variable,session_user
.py,variable,encoded_video_id
.py,class,GenerateEmbeddingsForm
.py,function,search_bing
.py,variable,auth
.py,variable,autoload_with
.py,function,delete_shared_chat_by_id
.py,variable,router
.py,function,get_messages_by_chat_id
.py,variable,parent_id
.py,variable,partial_func
.py,class,ComfyUIWorkflow
.py,function,adjust_vector_length
.py,function,apply_params_to_form_data
.py,function,create_new_prompt
.py,class,PgvectorClient
.py,variable,weights
.py,variable,SPEECH_CACHE_DIR
.py,function,query_doc_with_hybrid_search
.py,class,Feedback
.py,variable,expected_signature
.py,variable,embedded_queries
.py,function,create_new_tools
.py,class,TaskConfigForm
.py,function,is_file_locked
.py,variable,ollama_tool_calls
.py,function,get_global_action_functions
.py,variable,command
.py,function,query
.py,class,ColBERT
.py,function,generate_ollama_batch_embeddings
.py,function,get_web_loader
.py,variable,S3_SECRET_ACCESS_KEY
.py,function,create_feedback
.py,variable,chat
.py,function,delete_memory_by_id_and_user_id
.py,variable,default
.py,variable,bsize
.py,variable,work_items
.py,variable,tool_calls_display_content
.py,class,FeedbackModel
.py,variable,attr_content
.py,variable,AUDIO_TTS_OPENAI_API_BASE_URL
.py,variable,postgresql_using
.py,variable,KAGI_SEARCH_API_KEY
.py,variable,storage_provider
.py,class,WorkspacePermissions
.py,class,GroupTable
.py,variable,selected_model_id
.py,variable,knowledge_files
.py,function,insert_new_auth
.py,function,get_image
.py,function,get_all_items_from_collections
.py,variable,existing_indexes
.py,function,get_rag_config
.py,class,SafeFireCrawlLoader
.py,variable,OLLAMA_BASE_URLS
.py,variable,scale
.py,class,ApiKey
.py,function,search_exa
.py,function,moa_response_generation_template
.py,function,process_files_batch
.py,function,create_url
.py,variable,tool_ids
.py,function,load_b64_image_data
.py,function,update_feedback_by_id_and_user_id
.py,variable,encoding_name
.py,function,test_get_user_archived_chats
.py,class,PromptsTable
.py,variable,TTS_OPENAI_API_KEY
.py,function,get_first_user
.py,variable,auto
.py,class,ChatTitleIdResponse
.py,class,TagChatIdForm
.py,variable,req
.py,variable,ENABLE_ADMIN_CHAT_ACCESS
.py,variable,server_hostname
.py,variable,MALICIOUS
.py,class,FilesTable
.py,function,test_archive_chat_by_id
.py,variable,media_type
.py,variable,IMAGES_GEMINI_API_BASE_URL
.py,variable,parsed_url
.py,function,execute_code
.py,variable,frontmatter
.py,function,filter
.py,function,__dict__
.py,variable,embedded_docs
.py,function,tools_function_calling_generation_template
.py,function,get_user_archived_chats
.py,variable,sorted_metadatas
.py,function,verify_password
.py,variable,SAFE_MODE
.py,function,get_rag_template
.py,function,image_generations
.py,variable,temp_blocks
.py,variable,USERNAME_TAKEN
.py,function,get_session_user_chat_list
.py,function,get_available_voices
.py,function,update_tool_by_id
.py,function,extract_attributes
.py,function,_assert_user
.py,function,test_add_user
.py,function,toggle_model_by_id
.py,function,delete_all_user_chats
.py,function,mock_webui_user
.py,function,_get_user_by_id
.py,function,archive_all_chats
.py,class,ModelUserResponse
.py,function,setup_storage
.py,function,insert_new_feedback
.py,function,update_user_by_id
.py,variable,api_url
.py,variable,from_attributes
.py,function,toggle_function_by_id
.py,variable,active_user_ids
.py,variable,embeddings
.py,variable,httponly
.py,function,run_migrations_offline
.py,variable,USER_PERMISSIONS_WORKSPACE_PROMPTS_ACCESS
.py,variable,email
.py,variable,streaming
.py,variable,Tools
.py,variable,session_cookie
.py,function,delete_collection
.py,function,get_all_models_responses
.py,class,KnowledgeModel
.py,class,WebConfig
.py,variable,poolclass
.py,variable,ca_certs_file
.py,variable,file_body_path
.py,variable,K8S_FLAG
.py,variable,content_text
.py,variable,API_KEY_CREATION_NOT_ALLOWED
.py,variable,filtered_models
.py,function,update_email_by_id
.py,variable,AUDIO_TTS_OPENAI_API_KEY
.py,variable,knowledge_bases
.py,class,UserUpdateForm
.py,function,get_last_user_message_item
.py,variable,tags
.py,variable,encoded_jwt
.py,variable,function_name
.py,variable,access_token
.py,variable,ws_url
.py,variable,OPENAI_NOT_FOUND
.py,function,test_get_file_not_found
.py,variable,k
.py,variable,chats_by_user
.py,variable,PERSISTENT_CONFIG_REGISTRY
.py,variable,validate
.py,variable,banners
.py,function,test_update_profile
.py,variable,YOUTUBE_LOADER_PROXY_URL
.py,class,STTConfigForm
.py,function,openai_chat_completion_message_template
.py,function,get_function_params
.py,function,has_collection
.py,variable,CODE_INTERPRETER_JUPYTER_AUTH
.py,variable,collection_name_with_prefix
.py,variable,autodetect_encoding
.py,variable,hl
.py,function,process_pipeline_outlet_filter
.py,variable,permission_hierarchy
.py,variable,web_paths
.py,function,merge_get_results
.py,variable,Prompts
.py,variable,in_memory
.py,variable,MILVUS_TOKEN
.py,variable,Auths
.py,variable,tool_result
.py,class,ToolsTable
.py,variable,client
.py,variable,raw_metadata
.py,variable,MICROSOFT_OAUTH_SCOPE
.py,variable,add_start_index
.py,variable,secret_key
.py,function,create_token
.py,variable,INVALID_PASSWORD
.py,function,replace_imports
.py,function,get_folder_by_id_and_user_id
.py,variable,decode_content
.py,variable,provider
.py,variable,words
.py,variable,results_count
.py,variable,user_id
.py,variable,db_user
.py,variable,RAG_WEB_LOADER_ENGINES
.py,class,LdapServerConfig
.py,variable,source
.py,function,get_tools_valves_spec_by_id
.py,variable,ssl
.py,function,delete_file_by_id
.py,variable,cuda_error
.py,function,is_opening_code_block
.py,function,_generate_html_body
.py,variable,LDAP_APP_PASSWORD
.py,variable,MODEL_ADDED
.py,function,update_user_role
.py,variable,xml_content
.py,class,ProfileImageUrlForm
.py,variable,successful_file_ids
.py,class,LdapForm
.py,function,set_faster_whisper_model
.py,variable,lock_value
.py,function,update_audio_config
.py,function,get_tags_by_ids_and_user_id
.py,variable,filtered_results
.py,variable,ENABLE_FORWARD_USER_INFO_HEADERS
.py,function,chat_completion_files_handler
.py,variable,all_chats
.py,variable,search_results
.py,variable,ENABLE_MESSAGE_RATING
.py,function,update_file_hash_by_id
.py,variable,_video_id
.py,class,FunctionForm
.py,variable,parameters
.py,function,delete_pipeline
.py,variable,ext
.py,variable,size
.py,class,UserNameResponse
.py,function,get_sorted_filter_ids
.py,variable,OLLAMA_BASE_URL
.py,variable,DEFAULT_IMAGE_PROMPT_GENERATION_PROMPT_TEMPLATE
.py,function,update_prompt_by_command
.py,function,test_get_user_chat_list_by_user_id
.py,variable,redis
.py,variable,CREATE_USER_ERROR
.py,variable,proxy
.py,variable,EXA_API_BASE
.py,variable,column_dict
.py,function,delete_model
.py,function,has_access
.py,function,get_archived_session_user_chat_list
.py,variable,exc_info
.py,function,delete_all_files
.py,variable,client_manager
.py,function,test_archive_all_chats
.py,variable,full_match
.py,variable,ENABLE_RETRIEVAL_QUERY_GENERATION
.py,variable,OAUTH_GROUPS_CLAIM
.py,class,StorageProvider
.py,variable,combined_distances
.py,variable,OFFLINE_MODE
.py,function,query_collection
.py,variable,RAG_FULL_CONTEXT
.py,variable,formatted_time
.py,class,AdminConfig
.py,variable,responses
.py,function,tags_generation_template
.py,variable,message_data
.py,function,toggle_global_by_id
.py,variable,chunk
.py,variable,current_date
.py,variable,middle_length
.py,function,update_pipeline_valves
.py,class,MESSAGES
.py,variable,loader
.py,variable,app
.py,class,KnowledgeTable
.py,variable,tags_string
.py,variable,API_KEY_ALLOWED_ENDPOINTS
.py,variable,RAG_OLLAMA_API_KEY
.py,variable,Model
.py,function,get_admin_details
.py,variable,bucket
.py,class,ExaResult
.py,function,delete_channel_by_id
.py,variable,param_descriptions
.py,variable,USER_PERMISSIONS_WORKSPACE_TOOLS_ACCESS
.py,function,update_ldap_server
.py,variable,template
.py,variable,__event_call__
.py,function,get_direct_connections_config
.py,function,dispatch
.py,variable,sio
.py,function,upload_image
.py,variable,module
.py,variable,exists
.py,variable,results
.py,function,get_admin_user
.py,variable,ollama_tool_call
.py,function,items
.py,variable,GCS_BUCKET_NAME
.py,variable,USE_OLLAMA_DOCKER
.py,function,get_chat_title_by_id
.py,variable,unquote_password
.py,function,rollback
.py,variable,MOJEEK_SEARCH_API_KEY
.py,variable,pipe_flag
.py,function,update_user_oauth_sub_by_id
.py,function,upsert
.py,function,get_app_version
.py,variable,samesite
.py,function,test_imports
.py,class,Group
.py,function,get_user_webhook_url_by_id
.py,variable,model_id
.py,function,delete_tag_by_name_and_user_id
.py,variable,TIKTOKEN_ENCODING_NAME
.py,function,_create_batches
.py,variable,address
.py,function,queue_prompt
.py,variable,swagger_js_url
.py,variable,env_value
.py,function,show_model_info
.py,function,get_task
.py,variable,depends_on
.py,class,GeminiConfigForm
.py,variable,OAUTH_USERNAME_CLAIM
.py,variable,CHROMA_TENANT
.py,variable,aquire_func
.py,variable,CHROMA_HTTP_PORT
.py,variable,include_archived
.py,variable,logout_url
.py,variable,_distances
.py,function,export_config
.py,variable,DETECT_CODE_INTERPRETER
.py,variable,deprecated
.py,variable,user_dn
.py,function,__getattr__
.py,variable,finish_message
.py,function,get_task_config
.py,function,close
.py,class,File
.py,variable,AUTOMATIC1111_BASE_URL
.py,variable,VECTOR_LENGTH
.py,class,WebSearchConfig
.py,function,update_group_by_id
.py,variable,execute_request
.py,function,update_chat_tags_by_id
.py,function,update_knowledge_data_by_id
.py,variable,folder
.py,function,get_automatic1111_api_auth
.py,variable,AZURE_STORAGE_CONTAINER_NAME
.py,variable,queries
.py,function,oauth_login
.py,variable,done_msg
.py,function,process_web_search
.py,function,image_prompt_generation_template
.py,function,save
.py,variable,DATABASE_POOL_MAX_OVERFLOW
.py,function,prepend_to_first_user_message_content
.py,variable,region
.py,variable,OAUTH_CLIENT_ID
.py,variable,updated
.py,variable,dim
.py,variable,algorithms
.py,function,generate_title
.py,function,get_model_by_id
.py,function,insert_new_user
.py,variable,headers
.py,variable,max_results
.py,variable,weeks
.py,variable,update_result
.py,variable,new_auth
.py,variable,youtube_proxies
.py,function,get_image_url
.py,function,test_get_api_key
.py,variable,ID_TAKEN
.py,variable,tools_dict
.py,class,QuerySettingsForm
.py,variable,task_id
.py,variable,total_size
.py,function,get_models_in_use
.py,class,VectorItem
.py,variable,current_constraints
.py,variable,permitted_user_ids
.py,variable,code
.py,variable,pool_recycle
.py,variable,prefix
.py,function,search_jina
.py,variable,index_docs
.py,class,AddPipelineForm
.py,function,set_image_model
.py,function,get_embedding_config
.py,variable,ollama_options
.py,function,rollback_external
.py,function,_parse_response
.py,function,get_channel_messages
.py,variable,STORAGE_PROVIDER
.py,class,BatchProcessFilesForm
.py,function,get_image_model
.py,variable,DEFAULT_QUERY_GENERATION_PROMPT_TEMPLATE
.py,variable,param_match
.py,function,process_filter_functions
.py,variable,id_token_hint
.py,variable,http_auth
.py,variable,MODEL_NOT_FOUND
.py,variable,env
.py,variable,gcs_file_path
.py,variable,SEARXNG_QUERY_URL
.py,function,deactivate_all_functions
.py,function,validate_cors_origin
.py,variable,USE_OLLAMA
.py,function,create_user
.py,variable,tool_function
.py,variable,RAG_EMBEDDING_ENGINE
.py,variable,dependency_overrides
.py,function,get_pipelines_list
.py,variable,action
.py,variable,FILE_MAX_COUNT
.py,variable,user_settings
.py,variable,clean_up_lock
.py,function,get_prompts_by_user_id
.py,variable,allowed_hosts
.py,variable,docs
.py,variable,attributes
.py,class,ChannelModel
.py,variable,FONTS_DIR
.py,variable,status_history
.py,variable,AIOHTTP_CLIENT_TIMEOUT_OPENAI_MODEL_LIST
.py,variable,allow_methods
.py,variable,OPENSEARCH_SSL
.py,function,migrate_modelfile_to_model
.py,class,FolderIsExpandedForm
.py,variable,texts
.py,variable,colbert_config
.py,function,override_static
.py,variable,web_loader_args
.py,function,get_all_user_tags
.py,variable,connection_user
.py,variable,settings
.py,variable,function
.py,variable,text_splitter
.py,function,generate_api_key
.py,variable,USER_PERMISSIONS_CHAT_DELETE
.py,variable,response_tool_calls
.py,function,find_files_to_process
.py,function,load_speech_pipeline
.py,variable,LDAP_SERVER_LABEL
.py,variable,oauth_allowed_roles
.py,variable,latest_reply_at
.py,function,get_content_from_response
.py,variable,fake
.py,variable,json_data
.py,variable,latest_version
.py,variable,model_list_key
.py,variable,speaker_embedding
.py,variable,template_params
.py,variable,sorted_distances
.py,variable,sorted_documents
.py,variable,tasks
.py,class,PromptSuggestion
.py,variable,field_conditions
.py,variable,time_limit
.py,variable,hash_hex
.py,class,Auth
.py,variable,block_content
.py,class,UserSettings
.py,function,openai_chat_chunk_message_template
.py,variable,AUDIO_STT_ENGINE
.py,variable,webPages
.py,function,test_delete_file
.py,variable,key
.py,variable,ENABLE_IMAGE_PROMPT_GENERATION
.py,function,convert_payload_openai_to_ollama
.py,function,get_users_by_user_ids
.py,variable,CODE_INTERPRETER_PROMPT_TEMPLATE
.py,variable,CHANGELOG
.py,class,FileMeta
.py,function,get_action_items_from_module
.py,function,add_files_to_knowledge_batch
.py,function,get_user_permissisions
.py,variable,lines
.py,variable,output_images
.py,variable,WEBUI_SESSION_COOKIE_SAME_SITE
.py,variable,formatted_date
.py,variable,reload
.py,variable,error_detail
.py,variable,openai_tool_calls
.py,function,query_generation_template
.py,variable,access_token_url
.py,function,count_chats_by_tag_name_and_user_id
.py,class,TikaLoader
.py,function,setup
.py,variable,socketio_path
.py,variable,oauth
.py,variable,ALLOWED_NETLOCS
.py,variable,LD_LIBRARY_PATH
.py,class,GroupModel
.py,variable,overwrite
.py,variable,ENABLE_RAG_LOCAL_WEB_FETCH
.py,function,get_verified_user
.py,variable,path_components
.py,variable,db_vector_length
.py,variable,RAG_OLLAMA_BASE_URL
.py,variable,users
.py,variable,DATABASE_POOL_SIZE
.py,variable,line
.py,variable,log_env_var
.py,variable,GOOGLE_CLIENT_SECRET
.py,variable,CHUNK_OVERLAP
.py,class,FunctionsTable
.py,function,predict
.py,variable,picture
.py,class,UserRoleUpdateForm
.py,function,load_oauth_providers
.py,variable,function_models
.py,function,migrate
.py,variable,user_parameters
.py,function,list_tasks
.py,variable,exclude
.py,variable,OPENSEARCH_CERT_VERIFY
.py,variable,delta_arguments
.py,variable,auto_bind
.py,function,insert_new_file
.py,variable,ef
.py,function,update_user_last_active_by_id
.py,function,get_tool_by_id
.py,function,get_feedback_by_id
