File Type,Element Type,Element Name
.svelte,svelte_prop,codeExecutions
.svelte,variable,onBack
.svelte,variable,toggleGlobalHandler
.svelte,svelte_prop,imageGenerationEnabled
.svelte,variable,emojiRows
.svelte,variable,_selectedModels
.svelte,variable,dismissed
.svelte,variable,stopAudioStream
.svelte,variable,scrollToBottom
.svelte,svelte_prop,rows
.svelte,variable,responseMessage
.svelte,variable,currentPassword
.svelte,variable,formattedSeconds
.svelte,variable,localDBChats
.svelte,variable,showExperimentalOllama
.svelte,svelte_prop,setGroups
.svelte,svelte_prop,confirmLabel
.svelte,variable,openPane
.svelte,svelte_prop,rateMessage
.svelte,svelte_prop,regenerateResponse
.svelte,variable,onClose
.svelte,variable,target
.svelte,variable,lastSoundTime
.svelte,variable,element
.svelte,variable,rootFolders
.svelte,variable,positionChangeHandler
.svelte,variable,manifest
.svelte,variable,showAddMemoryModal
.svelte,variable,saveRecording
.svelte,variable,hasHiddenFolder
.svelte,variable,_socket
.svelte,variable,ldapSignInHandler
.svelte,variable,cloneChatHandler
.svelte,svelte_prop,open
.svelte,variable,stopCamera
.svelte,variable,visionCapableModels
.svelte,variable,filterMode
.svelte,variable,rankedModels
.svelte,variable,durationCounter
.svelte,variable,_state
.svelte,variable,showUnarchiveAllConfirmDialog
.svelte,variable,selectedFile
.svelte,variable,userPrompt
.svelte,variable,onDragOver
.svelte,variable,pipelineUrls
.svelte,svelte_prop,archiveChatHandler
.svelte,variable,createdAtDate
.svelte,variable,lowerCaseQuery
.svelte,variable,directConnections
.svelte,variable,parentRect
.svelte,variable,embeddingBatchSize
.svelte,function,status
.svelte,svelte_prop,model
.svelte,variable,selectedGroupId
.svelte,variable,savedModels
.svelte,variable,updateDirectConnectionsHandler
.svelte,svelte_prop,threadId
.svelte,variable,inlineCss
.svelte,variable,shiftEnter
.svelte,variable,img
.svelte,variable,minutes
.svelte,svelte_prop,uploadGoogleDriveHandler
.svelte,variable,statsA
.svelte,variable,distance
.svelte,variable,isCtrlPressed
.svelte,variable,words
.svelte,svelte_prop,func
.svelte,variable,dataTransfer
.svelte,variable,toggleSplitLargeChunks
.svelte,function,extractAttributes
.svelte,variable,relativePath
.svelte,svelte_prop,edit
.svelte,function,checkDirection
.svelte,variable,chatImportInputElement
.svelte,function,resetPanZoomViewport
.svelte,variable,showEdit
.svelte,variable,uploadMessage
.svelte,variable,showPinnedChat
.svelte,svelte_prop,width
.svelte,function,loadLocale
.svelte,variable,onBlur
.svelte,function,calculateModelStats
.svelte,variable,clone
.svelte,variable,fuseOptions
.svelte,variable,size
.svelte,variable,input
.svelte,variable,playbackRate
.svelte,variable,selectSuggestionPrompt
.svelte,variable,embeddingEngine
.svelte,variable,defaultModelIds
.svelte,variable,toggleHybridSearch
.svelte,variable,webConfig
.svelte,variable,progressBar
.svelte,variable,_messages
.svelte,variable,toggleUserLocation
.svelte,variable,placement
.svelte,variable,permission
.svelte,variable,enableDescription
.svelte,svelte_prop,offset
.svelte,svelte_prop,align
.svelte,variable,responseMessageId
.svelte,variable,messageInput
.svelte,variable,getVoicesLoop
.svelte,svelte_prop,showTemporaryChatControl
.svelte,variable,chatEventEmitter
.svelte,variable,executing
.svelte,function,init
.svelte,variable,onLoad
.svelte,function,stopLoading
.svelte,variable,status
.svelte,variable,enableMemory
.svelte,variable,searchPlaceholder
.svelte,variable,backendConfig
.svelte,variable,eventConfirmationInput
.svelte,variable,dragAndDrop
.svelte,variable,feedbacksToShare
.svelte,variable,saveAsCopyHandler
.svelte,variable,cameraInputElement
.svelte,variable,downloadJSONExport
.svelte,variable,sceneElement
.svelte,variable,executePythonAsWorker
.svelte,svelte_prop,triggerClassName
.svelte,variable,fileBlob
.svelte,variable,resetPanZoomViewport
.svelte,svelte_prop,channel
.svelte,variable,info
.svelte,variable,confirmLabel
.svelte,function,addUsage
.svelte,variable,initTags
.svelte,variable,tabs
.svelte,variable,rateMessage
.svelte,variable,createModelPullProgress
.svelte,variable,confirmRecording
.svelte,variable,querySettings
.svelte,variable,isCollapsibleOpen
.svelte,variable,focusEdit
.svelte,variable,uploadProgress
.svelte,function,applyTheme
.svelte,variable,confirmHandler
.svelte,variable,toggleLargeTextAsFile
.svelte,variable,observer
.svelte,function,percentage
.svelte,variable,languages
.svelte,function,offsetY
.svelte,function,recurseCheckChild
