File Type,Element Type,Element Name
.ts,variable,image
.ts,variable,getUserDefaultPermissions
.ts,variable,updateOllamaUrls
.ts,variable,personality
.ts,variable,parseJsonFile
.ts,variable,index
.ts,variable,updateUserById
.ts,variable,OPENAI_API_KEYS
.ts,variable,userSignIn
.ts,function,sanitizeResponseContent
.ts,variable,updateChannelById
.ts,variable,setModelsConfig
.ts,variable,htmlUrl
.ts,variable,getFolderById
.ts,variable,file
.ts,function,extractSentences
.ts,variable,resultString
.ts,variable,createNewModel
.ts,variable,getOllamaModels
.ts,variable,formData
.ts,variable,month
.ts,variable,sanitizedName
.ts,variable,requests
.ts,variable,models
.ts,function,loadGoogleDriveApi
.ts,variable,loadGoogleDriveApi
.ts,variable,transform
.ts,variable,seconds
.ts,variable,getEmbeddingConfig
.ts,variable,handleMessage
.ts,variable,toggleGlobalById
.ts,function,getFormattedTime
.ts,function,generateRegexRules
.ts,variable,url
.ts,variable,downloadLiteLLMConfig
.ts,variable,getModelsConfig
.ts,variable,updateUserRole
.ts,variable,createNewFeedback
.ts,variable,getDirectConnectionsConfig
.ts,variable,context
.ts,variable,regex
.ts,function,formatDate
.ts,variable,getLdapServer
.ts,variable,sanitizedResponse
.ts,variable,fileName
.ts,variable,cloneSharedChatById
.ts,variable,formatDate
.ts,function,decodeTextChunk
.ts,variable,getUserById
.ts,variable,getChatListBySearchText
.ts,variable,initials
.ts,variable,detailsMatch
.ts,variable,updateJWTExpiresDuration
.ts,function,getGravatarURL
.ts,variable,deleteSharedChatById
.ts,variable,removeFirstHashWord
.ts,variable,jsonResponse
.ts,variable,getFunctionValvesSpecById
.ts,variable,getOpenAIModelsDirect
.ts,variable,value
.ts,variable,getChannelById
.ts,function,getLineCount
.ts,variable,res
.ts,variable,functions
.ts,variable,getLineCount
.ts,variable,chats
.ts,variable,htmlIdToken
.ts,variable,createModel
.ts,variable,mapping
.ts,variable,processWebSearch
.ts,variable,currentId
.ts,function,loadGoogleAuthApi
.ts,variable,updateAdminConfig
.ts,variable,formats
.ts,variable,emojiRegex
.ts,variable,loadGoogleAuthApi
.ts,variable,content
.ts,variable,OPENAI_API_BASE_URLS
.ts,variable,deleteModel
.ts,variable,uint8Array
.ts,variable,height
.ts,function,styleToString
.ts,variable,showCallOverlay
.ts,variable,fallbackDefaultLocale
.ts,interface,PageData
.ts,interface,AvailableModelsResponse
.ts,variable,nowDate
.ts,variable,userToken
.ts,interface,Platform
.ts,variable,styleToString
.ts,variable,removeFormattings
.ts,variable,textChunkKeyword
.ts,variable,indexSrc
.ts,variable,blob
.ts,variable,currentTime
.ts,variable,getFileContentById
.ts,variable,getKnowledgeById
.ts,variable,getMemories
.ts,variable,getAPIKey
.ts,function,createOpenAITextStream
.ts,function,transformFileName
.ts,variable,finalFileName
.ts,variable,prompts
.ts,function,languages
.ts,variable,greeting
.ts,variable,transformFileName
.ts,variable,now
.ts,variable,showSettings
.ts,variable,firstMessage
.ts,variable,resetKnowledgeById
.ts,variable,tokenClient
.ts,variable,modelIds
.ts,variable,userSignOut
.ts,variable,updateImageGenerationConfig
.ts,variable,verifyOpenAIConnection
.ts,variable,OLLAMA_API_BASE_URL
.ts,variable,apiConfig
.ts,variable,codeBlocks
.ts,variable,getTaskConfig
.ts,variable,width
.ts,variable,WEBUI_HOSTNAME
.ts,variable,showArtifacts
.ts,variable,blockRule
.ts,interface,ModelConfig
.ts,variable,updateUserDefaultPermissions
.ts,function,percentage
.ts,variable,pixelValues
.ts,variable,nowMonth
.ts,function,removeEmojis
.ts,variable,offset
.ts,variable,i18nWritable
.ts,variable,removeEmojis
.ts,variable,textArea
.ts,variable,isValidPng
.ts,function,initI18n
.ts,function,processResponseContent
.ts,variable,initI18n
.ts,variable,getWebhookUrl
.ts,variable,MODEL_DOWNLOAD_POOL
.ts,variable,getOllamaVersion
.ts,variable,getPipelines
.ts,variable,deleteAPIKey
.ts,variable,getAllTags
.ts,variable,getOpenAIKeys
.ts,variable,addNewMemory
.ts,variable,getChannelMessages
.ts,variable,generateChatCompletion
.ts,variable,createAPIKey
.ts,variable,createNewFolder
.ts,variable,getChatPinnedStatusById
.ts,variable,request
.ts,variable,chatTitle
.ts,variable,message
.ts,function,approximateToHumanReadable
.ts,variable,exportConfig
.ts,variable,chat
.ts,variable,updateFeedbackById
.ts,variable,approximateToHumanReadable
.ts,variable,mountDir
.ts,variable,getToolValvesById
.ts,variable,messageId
.ts,variable,blockPatterns
.ts,variable,showSidebar
.ts,variable,inlineRule
.ts,variable,isLoadingStore
.ts,variable,parsedData
.ts,variable,updatePromptByCommand
.ts,variable,SCOPE
.ts,variable,updateChatById
.ts,variable,dateYear
.ts,variable,stopTask
.ts,variable,synthesizeOpenAISpeech
.ts,variable,WEBUI_API_BASE_URL
.ts,variable,DELIMITER_LIST
.ts,variable,getBackendConfig
.ts,variable,updateWebhookUrl
.ts,variable,deleteUserById
.ts,variable,banners
.ts,variable,getAdminConfig
.ts,variable,ruleReg
.ts,variable,getGroups
.ts,variable,processedObject
.ts,variable,updateMessage
.ts,variable,getToolValvesSpecById
.ts,variable,nowYear
.ts,variable,initializePyodide
.ts,variable,parseFile
.ts,variable,possibleKatex
.ts,variable,canvasPixelTest
.ts,function,scaleConversion
.ts,function,formatFileSize
