File Type,Element Type,Element Name,Suggested Name
.py,variable,timeout_secs,timeout_secs
.py,function,delete_all_models,delete_all_models
.js,function,swap32,swap32
.ts,variable,updateFeedbackById,update_feedback_by_id
.py,variable,search_text_words,search_text_words
.svelte,variable,showSetDefault,show_set_default
.svelte,variable,changeB,change_b
.svelte,variable,sourceButton,source_button
.svelte,variable,messageChildrenIds,message_children_ids
.svelte,variable,responseAutoPlayback,response_auto_playback
.js,function,readUInt16LE,read_uint16le
.py,variable,messages_html,messages_html
.py,function,update_embedding_config,update_embedding_config
.py,variable,ENABLE_SEARCH_QUERY_GENERATION,enable_search_query_generation
.py,function,get_last_user_message_item,get_last_user_message_item
.js,function,lib_applyPatch,lib_apply_patch
.py,variable,model_config,model_config
.py,function,update_folder_is_expanded_by_id_and_user_id,update_folder_is_expanded_by_id_and_user_id
.svelte,variable,blob,blob
.js,variable,components_HighlightCode,components_highlight_code
.py,function,get_tools_valves_spec_by_id,get_tools_valves_spec_by_id
.js,function,buildRequest,build_request
.py,variable,WHISPER_MODEL_AUTO_UPDATE,whisper_model_auto_update
.py,class,ToolUserResponse,tool_user_response
.svelte,variable,nonLocalVoices,non_local_voices
.py,variable,margin,margin
.ts,variable,updateOpenAIConfig,update_open_aiconfig
.js,function,_includesWith,_includes_with
.svelte,variable,packages,packages
.svelte,variable,groupedMessageIds,grouped_message_ids
.py,variable,last_request_time,last_request_time
.js,function,lift,lift
.js,function,delay,delay
.py,class,AppConfig,app_config
.py,variable,OLLAMA_API_DISABLED,ollama_api_disabled
.js,function,escapeString,escape_string
.py,function,get_embedding_config,get_embedding_config
.py,variable,OAUTH_MERGE_ACCOUNTS_BY_EMAIL,oauth_merge_accounts_by_email
.py,variable,actions,actions
.js,function,powerSetPermutations,power_set_permutations
.svelte,svelte_prop,filters,filters
.py,function,get_function_models,get_function_models
.js,function,getProductionTypeChecker,get_production_type_checker
.py,variable,USE_OLLAMA,use_ollama
.svelte,variable,toggleNotification,toggle_notification
.py,class,TestAuths,test_auths
.js,function,truncateEnd,truncate_end
.js,function,b64toB64UrlEncoded,b64to_b64url_encoded
.py,variable,trust_remote_code,trust_remote_code
.js,function,writeInt16LE,write_int16le
.js,function,makeResolveSubtree,make_resolve_subtree
.js,function,endOfMode,end_of_mode
.svelte,function,calculateRMS,calculate_rms
.svelte,variable,updateAvailable,update_available
.svelte,variable,csvData,csv_data
.js,function,asciiWrite,ascii_write
.ts,function,getCurrentDateTime,get_current_date_time
.ts,variable,deleteSharedChatById,delete_shared_chat_by_id
.py,variable,milliseconds,milliseconds
.ts,variable,i18n,i18n
.svelte,variable,command,command
.js,variable,visit,visit
.py,variable,sub,sub
.ts,variable,deleteMemoriesByUserId,delete_memories_by_user_id
.py,variable,search_base,search_base
.py,class,YoutubeLoader,youtube_loader
.svelte,variable,selectedModelId,selected_model_id
.svelte,function,selectDown,select_down
.js,function,writeUInt32LE,write_uint32le
.py,function,remove_file_from_knowledge_by_id,remove_file_from_knowledge_by_id
